"","id","respdate","endtime","qA1","qA2","qA3a","qA3b","qA4","qA5","qA6","qA7","qA8","nq15","q66","q67_1","q67_2","q67_3","q67_4","q67_5","q67_6","q67_7","q67_8","q68","q69_1","q69_2","q69_3","q69_4","q69_5","q69_6","q69_7","q69_8","q70","q71_1","q71_2","q71_3","q71_4","q71_5","q71_6","q71_7","q71_8","q72","q73_1","q73_2","q73_3","q73_4","q73_5","q73_6","q73_7","q73_8","q74","q81_1","q81_2","q81_3","q81_4","q81_5","q81_6","q81_7","q81_8","q82","q84a_1","q84a_2","q84a_3","q84a_4","q84a_5","q84a_6","q84a_7","q84a_8","q84b","q75_1","q75_2","q75_3","q75_4","q75_5","q75_6","q75_7","q75_8","q76","q77_1","q77_2","q77_3","q77_4","q77_5","q77_6","q77_7","q77_8","q78","q83_1","q83_2","q83_3","q83_4","q83_5","q83_6","q83_7","q83_8","q84","q85","q86_1","q86_2","q86_3","q86_5","q86_6","q86_7","q86_8","q86_9","q86_10","q86_11","q87","q88","q89","q90","q91","q92","q92a","q92b","q92c","q92d","Impprobgb","qB1","qB2","qB3","qB4","qB5","qB6","qB7","qB8","qB9","qB10","qB11","qB12","qB13","qB14","qB15","qB16","qB17","qC1","qC2","qC3","qC4","qC5","qC6","qC7","qC8","qC9","qC10","qC11","qC12","qC13","qC14","qC15","qC16","qC17","qC18","qD1","qD2","qD3","qD4","qD5","qD6","qD7","qD8","qD8a","qD8b","qD8c","qD8d","qD9","qD9a","qD9b","qD9c","qD9d","qD10","qD11","qD12","qD13","qD14","profile_bpcage","profile_gender","profile_socialgrade_old","profile_newspaper_readership","W8","W8vote","filter_$"
"1",1,2010-05-07,2010-05-07 12:43:31,1,1,1,"__NA__",4,3,"__NA__",5,"__NA__",9,2,1,1,1,1,1,1,1,2,"__NA__",2,1,2,2,2,2,2,2,"__NA__",2,1,2,2,2,2,2,2,"__NA__",2,1,2,2,2,2,2,2,"__NA__",2,1,2,2,2,2,2,2,"__NA__",2,1,2,2,2,2,2,2,"__NA__",2,1,2,2,2,2,2,2,"__NA__",2,1,2,2,2,2,2,2,"__NA__",NA,NA,NA,NA,NA,NA,NA,NA,"__NA__",1,1,2,2,2,2,2,2,2,2,2,"__NA__",3,NA,NA,NA,NA,NA,NA,NA,NA,"Other","living under the tories again",3,"__NA__","still recovering from the last time the tories were in",3,"__NA__",2,2,1,2,1,1,2,1,2,2,2,7,1,6,8,5,3,6,7,7,7,7,8,1,6,8,5,5,1,1,"__NA__",1,"__NA__",4,2,1,1,1,1,1,1,1,3,2,3,2,2,2,2,1,1,1,2,1,16,0.352666411868375,0.400380241417279,0
"2",2,2010-05-07,2010-05-07 12:44:23,2,1,1,"__NA__",1,1,"__NA__",NA,"__NA__",10,2,1,1,1,1,2,1,2,1,"Christian Party",2,1,2,2,2,2,2,2,"__NA__",2,1,2,2,2,2,2,2,"__NA__",2,1,2,2,2,2,2,2,"__NA__",2,1,2,2,2,2,2,2,"__NA__",NA,NA,NA,NA,NA,NA,NA,NA,"__NA__",2,1,2,2,2,2,2,2,"__NA__",NA,NA,NA,NA,NA,NA,NA,NA,"__NA__",2,1,2,2,2,2,2,2,"__NA__",1,1,1,1,2,2,2,2,2,2,2,"__NA__",3,3,3,NA,NA,NA,NA,NA,NA,"Economy (General)","economic",3,"__NA__","economic",3,"__NA__",3,2,2,2,3,1,3,1,3,2,2,8,6,7,6,7,5,7,7,7,4,6,11,3,6,3,5,2,1,1,"__NA__",1,"__NA__",4,1,1,1,1,1,1,2,1,3,1,2,1,2,2,2,3,1,3,1,1,13,1.15277556844929,1.16635492770092,0
"3",3,2010-05-07,2010-05-07 12:44:57,1,1,1,"__NA__",1,1,"__NA__",NA,"__NA__",9,1,NA,NA,NA,NA,NA,NA,NA,NA,"__NA__",NA,NA,NA,NA,NA,NA,NA,NA,"__NA__",NA,NA,NA,NA,NA,NA,NA,NA,"__NA__",NA,NA,NA,NA,NA,NA,NA,NA,"__NA__",NA,NA,NA,NA,NA,NA,NA,NA,"__NA__",NA,NA,NA,NA,NA,NA,NA,NA,"__NA__",NA,NA,NA,NA,NA,NA,NA,NA,"__NA__",NA,NA,NA,NA,NA,NA,NA,NA,"__NA__",NA,NA,NA,NA,NA,NA,NA,NA,"__NA__",1,1,1,1,2,2,2,1,2,2,2,"__NA__",2,5,3,NA,NA,NA,NA,5,NA,"Economy (General)","The economy",3,"__NA__","Don't know",12,"__NA__",2,2,2,2,2,2,2,2,2,2,4,9,1,2,5,8,1,1,6,7,1,6,11,1,1,1,6,1,1,1,"__NA__",1,"__NA__",4,1,1,1,1,1,1,2,1,3,2,4,3,1,2,3,5,1,1,1,1,8,0.174193607258691,0.16624517650506,0
"4",4,2010-05-07,2010-05-07 12:46:27,1,1,1,"__NA__",1,1,"__NA__",NA,"__NA__",2,2,1,1,2,2,2,2,2,2,"__NA__",2,1,2,2,2,2,2,2,"__NA__",2,1,1,2,2,2,2,2,"__NA__",NA,NA,NA,NA,NA,NA,NA,NA,"__NA__",NA,NA,NA,NA,NA,NA,NA,NA,"__NA__",NA,NA,NA,NA,NA,NA,NA,NA,"__NA__",NA,NA,NA,NA,NA,NA,NA,NA,"__NA__",NA,NA,NA,NA,NA,NA,NA,NA,"__NA__",NA,NA,NA,NA,NA,NA,NA,NA,"__NA__",1,1,2,2,1,2,2,2,2,2,2,"__NA__",2,NA,NA,NA,5,NA,NA,NA,NA,"Economy (General)","The Economy",3,"__NA__","The Economy",3,"__NA__",1,2,2,3,2,3,2,3,2,2,3,9,2,5,4,9,2,5,4,8,2,6,11,1,5,3,2,1,1,1,"__NA__",1,"__NA__",3,2,1,1,1,1,1,2,1,2,1,2,2,4,2,4,3,2,3,2,1,8,0.169446246806333,0.176243736292225,0
"5",5,2010-05-07,2010-05-07 12:46:31,1,1,3,"__NA__",3,1,"__NA__",NA,"__NA__",9,2,1,1,1,1,2,1,1,2,"__NA__",2,1,1,2,2,2,2,2,"__NA__",2,1,2,2,2,2,2,2,"__NA__",2,1,2,2,2,2,2,2,"__NA__",2,1,2,2,2,2,2,2,"__NA__",NA,NA,NA,NA,NA,NA,NA,NA,"__NA__",2,1,2,2,2,2,2,2,"__NA__",2,1,2,2,2,2,2,2,"__NA__",NA,NA,NA,NA,NA,NA,NA,NA,"__NA__",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"__NA__",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Economy (General)","economic recovery",12,"__NA__","don't know",12,"__NA__",3,3,6,5,2,4,6,5,4,3,3,7,4,9,7,5,2,9,6,12,12,12,5,2,11,8,3,1,1,3,"__NA__",3,"__NA__",3,2,1,1,1,1,2,2,1,3,2,3,2,2,2,6,2,1,1,1,2,10,0.497868944476213,0.916181035411735,0
"6",6,2010-05-07,2010-05-07 12:47:27,2,1,4,"__NA__",3,5,"Party of my country and language",NA,"__NA__",10,1,NA,NA,NA,NA,NA,NA,NA,NA,"__NA__",NA,NA,NA,NA,NA,NA,NA,NA,"__NA__",NA,NA,NA,NA,NA,NA,NA,NA,"__NA__",NA,NA,NA,NA,NA,NA,NA,NA,"__NA__",NA,NA,NA,NA,NA,NA,NA,NA,"__NA__",NA,NA,NA,NA,NA,NA,NA,NA,"__NA__",NA,NA,NA,NA,NA,NA,NA,NA,"__NA__",NA,NA,NA,NA,NA,NA,NA,NA,"__NA__",NA,NA,NA,NA,NA,NA,NA,NA,"__NA__",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"__NA__",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Immigration / Asyl","immigration",10,"__NA__","Health service",12,"__NA__",2,2,3,3,4,2,2,2,2,3,2,9,7,9,10,9,6,7,10,10,6,12,8,5,8,11,7,7,5,7,"__NA__",4,"__NA__",4,4,1,1,1,1,2,2,1,3,2,3,2,1,2,2,1,1,3,2,1,14,1.96315495706809,2.31762751117831,0
"7",7,2010-05-07,2010-05-07 12:48:27,1,1,4,"__NA__",1,1,"__NA__",NA,"__NA__",5,1,NA,NA,NA,NA,NA,NA,NA,NA,"__NA__",NA,NA,NA,NA,NA,NA,NA,NA,"__NA__",NA,NA,NA,NA,NA,NA,NA,NA,"__NA__",NA,NA,NA,NA,NA,NA,NA,NA,"__NA__",NA,NA,NA,NA,NA,NA,NA,NA,"__NA__",NA,NA,NA,NA,NA,NA,NA,NA,"__NA__",NA,NA,NA,NA,NA,NA,NA,NA,"__NA__",NA,NA,NA,NA,NA,NA,NA,NA,"__NA__",NA,NA,NA,NA,NA,NA,NA,NA,"__NA__",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"__NA__",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Economy (General)","Economy",2,"__NA__","Economy",2,"__NA__",2,2,2,2,4,1,3,1,5,4,2,2,1,1,11,2,1,1,3,4,2,1,2,1,1,11,9,1,1,4,"__NA__",6,"__NA__",5,2,1,1,1,1,1,1,1,4,3,4,3,1,1,2,1,1,3,1,1,13,1.46052292245401,1.66862753512402,0
"8",8,2010-05-07,2010-05-07 12:48:27,1,1,1,"__NA__",1,1,"__NA__",NA,"__NA__",1,2,1,1,1,1,1,2,2,2,"__NA__",2,1,2,2,2,2,2,2,"__NA__",2,1,2,2,2,2,2,2,"__NA__",2,1,2,2,2,2,2,2,"__NA__",2,1,2,2,2,2,2,2,"__NA__",2,1,2,2,2,2,2,2,"__NA__",NA,NA,NA,NA,NA,NA,NA,NA,"__NA__",NA,NA,NA,NA,NA,NA,NA,NA,"__NA__",NA,NA,NA,NA,NA,NA,NA,NA,"__NA__",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"__NA__",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Economy (General)","economy",3,"__NA__","economy",3,"__NA__",3,1,6,5,6,5,3,3,2,2,3,9,3,6,12,10,2,11,6,7,12,9,11,1,8,1,1,1,1,1,"__NA__",1,"__NA__",4,2,2,1,1,1,1,2,1,2,1,3,1,1,1,4,6,1,1,2,2,15,8.56735816872591,4.65109751168885,0
"9",9,2010-05-07,2010-05-07 12:48:55,1,1,1,"__NA__",1,1,"__NA__",NA,"__NA__",3,1,NA,NA,NA,NA,NA,NA,NA,NA,"__NA__",NA,NA,NA,NA,NA,NA,NA,NA,"__NA__",NA,NA,NA,NA,NA,NA,NA,NA,"__NA__",NA,NA,NA,NA,NA,NA,NA,NA,"__NA__",NA,NA,NA,NA,NA,NA,NA,NA,"__NA__",NA,NA,NA,NA,NA,NA,NA,NA,"__NA__",NA,NA,NA,NA,NA,NA,NA,NA,"__NA__",NA,NA,NA,NA,NA,NA,NA,NA,"__NA__",NA,NA,NA,NA,NA,NA,NA,NA,"__NA__",1,1,1,2,1,2,2,2,2,2,2,"__NA__",2,5,NA,NA,5,NA,NA,NA,NA,"Economy (General)","economy",3,"__NA__","economy",3,"__NA__",1,3,2,3,2,1,2,3,2,2,4,9,1,5,2,9,1,4,1,10,1,2,10,1,3,2,2,1,1,1,"__NA__",1,"__NA__",4,1,1,1,1,1,1,2,1,3,2,3,3,2,1,3,2,1,2,1,1,13,1.22248086777965,1.13727389994566,0
"10",10,2010-05-07,2010-05-07 12:49:00,1,1,4,"__NA__",4,4,"__NA__",6,"__NA__",3,2,1,2,2,1,2,2,1,2,"__NA__",2,1,2,2,2,2,2,2,"__NA__",NA,NA,NA,NA,NA,NA,NA,NA,"__NA__",NA,NA,NA,NA,NA,NA,NA,NA,"__NA__",2,1,2,2,2,2,2,2,"__NA__",NA,NA,NA,NA,NA,NA,NA,NA,"__NA__",NA,NA,NA,NA,NA,NA,NA,NA,"__NA__",2,1,2,2,2,2,2,2,"__NA__",NA,NA,NA,NA,NA,NA,NA,NA,"__NA__",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"__NA__",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Economy (General)","economy",3,"__NA__","unemployment",3,"__NA__",3,3,4,3,3,3,3,3,3,3,3,7,7,9,8,1,7,9,8,12,12,12,10,7,8,10,10,4,1,4,"__NA__",6,"__NA__",3,2,1,1,1,1,1,2,1,2,2,2,2,2,3,4,6,1,2,2,1,16,0.209062996499623,0.572797764626743,1
